Date,Close
2026-06-02,75.23
2026-06-03,74.52
2026-06-04,75.07
2026-06-05,74.79
2026-06-08,74.75
2026-06-09,74.86
2026-06-10,74.6
2026-06-11,74.86
2026-06-12,76.06
2026-06-15,76.4
2026-06-16,76.46
2026-06-17,76.97
2026-06-18,76.8
2026-06-19,76.66
2026-06-22,76.83
2026-06-23,76.01
2026-06-24,76.61
2026-06-25,77.03
2026-06-26,76.75
2026-06-29,76.84
2026-06-30,77.77
2026-07-01,77.61
2026-07-02,78.18
2026-07-03,78.66
2026-07-06,78.49
2026-07-07,77.95
2026-07-08,76.81
2026-07-09,77.61
2026-07-10,77.67
2026-07-13,77.79
2026-07-14,77.65
2026-07-15,77.73
2026-07-16,77.82
2026-07-17,77.46
2026-07-20,77.1
2026-07-21,77.29
2026-07-22,77.21
2026-07-23,76.33
2026-07-24,77.13
2026-07-27,77.06
2026-07-28,77.72
2026-07-29,77.12
2026-07-30,77.73
2026-07-31,77.48
2026-08-03,77.83
2026-08-04,78.54
2026-08-05,78.72
2026-08-06,78.97
2026-08-07,79.3
2026-08-10,79.18
2026-08-11,79.22
