Date,Close
2026-06-15,42.18
2026-06-16,42.138
2026-06-17,42.152
2026-06-18,42.251
2026-06-19,42.328
2026-06-22,42.437
2026-06-23,42.076
2026-06-24,42.336
2026-06-25,42.082
2026-06-26,41.98
2026-06-29,42.011
2026-06-30,42.434
2026-07-01,42.72
2026-07-02,42.522
2026-07-03,42.684
2026-07-06,42.877
2026-07-07,42.556
2026-07-08,42.262
2026-07-09,42.654
2026-07-10,42.814
2026-07-13,42.873
2026-07-14,42.776
2026-07-15,42.849
2026-07-16,42.849
2026-07-17,42.355
2026-07-20,42.496
2026-07-21,42.636
2026-07-22,42.742
2026-07-23,42.208
2026-07-24,42.489
2026-07-27,42.301
2026-07-28,42.46
2026-07-29,42.199
2026-07-30,41.79
2026-07-31,42.007
2026-08-03,42.625
2026-08-04,43.18
2026-08-05,43.306
2026-08-06,43.277
2026-08-07,43.467
2026-08-10,43.493
2026-08-11,43.479
2026-08-12,43.511
2026-08-13,43.71
2026-08-14,43.536
2026-08-17,43.498
2026-08-18,43.062
2026-08-19,42.91
2026-08-20,42.64
2026-08-21,42.747
2026-08-24,42.656
2026-08-25,42.767
2026-08-26,42.825
2026-08-27,42.964
2026-08-28,43.329
