Date,Close
2026-04-29,44.98
2026-04-30,45.18
2026-05-04,45.29
2026-05-05,45.54
2026-05-06,46.235
2026-05-07,46.385
2026-05-08,46.38
2026-05-11,46.505
2026-05-12,46.095
2026-05-13,46.665
2026-05-14,47.265
2026-05-15,46.91
2026-05-18,46.67
2026-05-19,46.59
2026-05-20,46.875
2026-05-21,46.92
2026-05-22,47.405
2026-05-25,47.825
2026-05-26,47.445
2026-05-27,47.375
2026-05-28,47.535
2026-05-29,47.68
2026-06-01,47.99
2026-06-02,47.91
2026-06-03,47.46
2026-06-04,47.71
2026-06-05,47.38
2026-06-08,47.1
2026-06-09,46.565
2026-06-10,46.44
2026-06-11,46.3
2026-06-12,47.2
2026-06-15,47.815
2026-06-16,47.705
2026-06-17,47.575
2026-06-18,47.695
2026-06-19,47.83
2026-06-22,47.835
2026-06-23,47.45
2026-06-24,47.88
2026-06-25,47.5
2026-06-26,47.5
2026-06-29,47.515
2026-06-30,48.065
2026-07-01,48.505
2026-07-02,48.15
2026-07-03,48.305
2026-07-06,48.535
2026-07-07,48.305
2026-07-08,47.725
2026-07-09,48.1
2026-07-10,48.345
2026-07-13,48.465
2026-07-14,48.29
2026-07-15,48.39
2026-07-16,48.31
2026-07-17,47.67
2026-07-20,47.905
2026-07-21,48.0
2026-07-22,48.1
2026-07-23,47.105
2026-07-24,47.475
2026-07-27,47.315
2026-07-28,47.735
2026-07-29,47.39
2026-07-30,47.385
2026-07-31,47.79
2026-08-03,48.835
2026-08-04,49.485
2026-08-05,49.685
2026-08-06,49.615
2026-08-07,49.905
2026-08-10,49.885
2026-08-11,49.815
2026-08-12,49.805
2026-08-13,50.05
2026-08-14,49.985
2026-08-17,49.885
2026-08-18,49.29
2026-08-19,49.245
2026-08-20,48.895
2026-08-21,49.16
2026-08-24,49.07
2026-08-25,49.225
2026-08-26,49.165
2026-08-27,49.58
